LADCD,Population
E09000001,13462
E09000002,222308
E09000003,395007
E09000004,250853
E09000005,344521
E09000006,331162
E09000007,220903
E09000008,397741
E09000009,375340
E09000010,327429
E09000011,294113
E09000012,263282
E09000013,186176
E09000014,262895
E09000015,263448
E09000016,268145
E09000017,319018
E09000018,295706
E09000019,220584
E09000020,147460
E09000021,170454
E09000022,315706
E09000023,298708
E09000024,215219
E09000025,362552
E09000026,313392
E09000027,195513
E09000028,315519
E09000029,211123
E09000030,328626
E09000031,275980
E09000032,331456
E09000033,211508
